"","Day","number.scan.PT","number.scan.RST","number.scan.RBM"
"450",450,21,21,0
"451",451,0,0,0
"452",452,0,0,0
"453",453,0,21,20
"454",454,17,19,0
"455",455,21,0,21
"456",456,0,20,0
"457",457,21,18,18
"458",458,0,0,0
"459",459,0,0,0
"460",460,0,18,19
"461",461,21,20,19
"462",462,0,21,0
"463",463,21,19,21
"464",464,21,18,21
"465",465,0,0,0
"466",466,0,0,0
"467",467,17,19,18
"468",468,21,21,21
"469",469,20,21,0
"470",470,21,21,19
"471",471,21,21,19
"472",472,0,0,0
"473",473,0,0,0
"474",474,19,21,19
"475",475,18,18,18
"476",476,0,16,16
"477",477,21,21,20
"478",478,21,21,21
"479",479,0,0,0
"480",480,0,0,0
"481",481,19,20,21
"482",482,21,20,21
"483",483,0,21,21
"484",484,20,21,0
"485",485,21,21,20
"486",486,0,0,0
"487",487,0,0,0
"488",488,17,21,20
"489",489,17,17,16
"490",490,0,21,19
"491",491,0,0,0
"492",492,18,20,18
"493",493,21,19,19
"494",494,0,0,0
"495",495,20,21,20
"496",496,19,21,0
"497",497,2,20,19
"498",498,21,20,19
"499",499,17,19,19
"500",500,0,0,0
"501",501,0,0,0
"502",502,21,21,21
"503",503,20,20,21
"504",504,20,21,0
"505",505,0,21,20
"506",506,20,20,20
"507",507,0,0,0
"508",508,0,0,0
"509",509,19,21,20
"510",510,18,21,0
"511",511,0,20,19
"512",512,0,21,19
"513",513,17,21,21
"514",514,0,0,0
"515",515,0,0,0
"516",516,0,0,0
"517",517,0,0,0
"518",518,0,0,0
"519",519,0,0,0
"520",520,0,0,0
"521",521,0,0,0
"522",522,0,0,0
"523",523,0,0,0
"524",524,0,0,0
"525",525,0,0,0
"526",526,0,0,0
"527",527,0,0,0
"528",528,0,0,0
"529",529,0,0,0
"530",530,21,21,20
"531",531,18,18,18
"532",532,0,21,21
"533",533,18,17,21
"534",534,21,20,19
"535",535,0,0,0
"536",536,0,0,0
"537",537,20,20,21
"538",538,0,19,19
"539",539,21,21,0
"540",540,20,20,19
"541",541,9,20,11
"542",542,0,0,0
"543",543,0,0,0
"544",544,21,21,21
"545",545,20,21,0
"546",546,20,21,20
"547",547,20,21,21
"548",548,19,21,21
"549",549,0,0,0
"550",550,0,0,0
"551",551,19,0,18
"552",552,0,16,0
"553",553,21,0,19
"554",554,19,21,0
"555",555,20,21,19
"556",556,0,0,0
"557",557,0,0,0
"558",558,16,0,16
"559",559,0,21,21
"560",560,21,0,21
"561",561,0,0,0
"562",562,19,20,0
"563",563,1,0,0
"564",564,0,0,0
"565",565,20,20,19
"566",566,20,21,21
"567",567,21,0,21
"568",568,20,21,20
"569",569,0,0,0
"570",570,0,0,0
"571",571,0,0,0
"572",572,17,21,20
"573",573,21,21,19
"574",574,21,0,20
"575",575,20,0,0
"576",576,16,18,17
"577",577,0,0,0
"578",578,0,0,0
"579",579,17,21,18
"580",580,19,21,19
"581",581,2,2,0
"582",582,21,20,18
"583",583,21,21,20
"584",584,0,0,0
"585",585,0,0,0
"586",586,21,21,21
"587",587,20,21,20
"588",588,0,0,0
"589",589,20,21,20
"590",590,21,20,21
"591",591,20,20,20
"592",592,0,0,0
"593",593,0,0,0
"594",594,13,13,2
"595",595,21,21,0
"596",596,0,11,10
"597",597,17,17,18
"598",598,0,0,0
"599",599,0,0,0
"600",600,0,0,0
"601",601,21,21,19
"602",602,20,21,19
"603",603,0,21,21
"604",604,20,21,20
"605",605,19,7,20
"606",606,0,0,0
"607",607,21,19,13
"608",608,21,20,21
"609",609,0,20,21
"610",610,20,21,21
"611",611,20,21,21
"612",612,0,0,0
"613",613,0,0,0
"614",614,21,20,21
"615",615,21,21,21
"616",616,21,21,21
"617",617,20,21,21
"618",618,17,21,17
"619",619,0,0,0
"620",620,0,0,0
"621",621,20,21,0
"622",622,0,21,20
"623",623,21,21,20
"624",624,1,18,19
"625",625,20,19,21
"626",626,0,0,0
"627",627,0,0,0
"628",628,20,20,0
"629",629,0,20,20
"630",630,20,20,20
"631",631,19,20,0
"632",632,21,21,21
"633",633,0,0,0
"634",634,0,0,0
"635",635,21,21,21
"636",636,21,21,20
"637",637,0,21,19
"638",638,21,21,0
"639",639,19,20,19
"640",640,0,0,0
"641",641,0,0,0
"642",642,21,21,21
"643",643,21,21,20
"644",644,21,0,21
"645",645,20,21,0
"646",646,20,21,19
"647",647,0,0,0
"648",648,0,0,0
"649",649,19,21,21
"650",650,21,21,21
"651",651,19,0,16
"652",652,18,21,21
"653",653,0,20,20
"654",654,0,0,0
"655",655,0,0,0
"656",656,19,21,20
"657",657,20,21,16
"658",658,21,20,18
"659",659,0,21,19
"660",660,20,21,21
"661",661,0,0,0
"662",662,0,0,0
"663",663,0,0,0
"664",664,20,21,21
"665",665,0,20,20
"666",666,20,19,17
"667",667,20,21,20
"668",668,0,0,0
"669",669,0,0,0
"670",670,21,21,20
"671",671,17,20,17
"672",672,21,21,21
"673",673,21,10,20
"674",674,21,21,21
"675",675,0,0,0
"676",676,0,0,0
"677",677,20,21,21
"678",678,21,21,18
"679",679,16,21,20
"680",680,20,21,20
"681",681,18,21,21
"682",682,0,0,0
"683",683,0,0,0
"684",684,20,21,21
"685",685,20,21,0
"686",686,21,21,19
"687",687,21,21,20
"688",688,20,21,18
"689",689,0,0,0
"690",690,0,0,0
"691",691,19,21,21
"692",692,21,21,20
"693",693,0,0,0
"694",694,20,21,0
"695",695,6,21,20
"696",696,21,21,19
"697",697,0,0,0
"698",698,21,21,20
"699",699,20,19,21
"700",700,21,21,21
"701",701,20,19,19
"702",702,21,20,19
"703",703,0,0,0
"704",704,0,0,0
"705",705,21,20,20
"706",706,21,21,21
"707",707,21,21,19
"708",708,20,21,19
"709",709,21,21,21
"710",710,0,0,0
"711",711,0,0,0
"712",712,21,21,20
"713",713,0,21,21
"714",714,20,21,21
"715",715,20,19,15
"716",716,20,18,20
"717",717,0,0,0
"718",718,0,0,0
"719",719,21,21,20
"720",720,19,21,21
"721",721,21,18,21
"722",722,20,20,19
"723",723,0,0,0
"724",724,0,0,0
"725",725,0,0,0
"726",726,0,0,0
"727",727,21,21,21
"728",728,21,21,19
"729",729,21,21,18
"730",730,20,18,18
"731",731,0,0,0
"732",732,0,0,0
"733",733,0,0,0
"734",734,0,0,0
"735",735,21,21,20
"736",736,19,19,18
"737",737,21,20,21
"738",738,18,21,19
"739",739,0,0,0
"740",740,15,15,0
"741",741,21,21,21
"742",742,20,0,21
"743",743,0,20,19
"744",744,20,21,0
"745",745,0,0,0
"746",746,0,0,0
"747",747,19,21,19
"748",748,0,21,21
"749",749,19,8,20
"750",750,21,21,0
"751",751,21,21,21
"752",752,0,0,0
"753",753,0,0,0
"754",754,17,21,20
"755",755,0,21,21
"756",756,18,0,18
"757",757,20,21,21
"758",758,18,20,20
"759",759,0,0,0
"760",760,0,0,0
"761",761,19,19,20
"762",762,20,20,19
"763",763,1,19,20
"764",764,19,21,0
"765",765,16,0,16
"766",766,0,0,0
"767",767,0,0,0
"768",768,21,21,21
"769",769,0,21,19
"770",770,21,21,19
"771",771,19,20,17
"772",772,21,17,6
"773",773,0,0,0
"774",774,0,0,0
"775",775,21,21,0
"776",776,21,21,20
"777",777,0,18,18
"778",778,19,20,20
"779",779,15,21,16
"780",780,0,0,0
"781",781,0,0,0
"782",782,18,20,21
"783",783,0,20,4
"784",784,21,0,20
"785",785,19,21,19
"786",786,21,21,21
"787",787,0,0,0
"788",788,0,0,0
"789",789,21,19,21
"790",790,20,21,15
"791",791,20,18,20
"792",792,13,20,20
"793",793,17,19,20
"794",794,0,0,0
"795",795,0,0,0
"796",796,0,21,20
"797",797,18,18,18
"798",798,18,21,18
"799",799,20,20,19
"800",800,20,21,20
"801",801,0,0,0
"802",802,0,0,0
"803",803,14,20,20
"804",804,21,20,18
"805",805,19,0,20
"806",806,19,19,20
"807",807,16,20,0
"808",808,0,0,0
"809",809,12,0,3
"810",810,21,17,21
"811",811,17,17,0
"812",812,0,20,16
"813",813,0,0,0
"814",814,1,4,4
"815",815,18,17,17
"816",816,0,0,0
"817",817,20,21,18
"818",818,21,21,0
"819",819,0,21,20
"820",820,20,18,20
"821",821,18,20,19
"822",822,0,0,0
"823",823,0,0,0
"824",824,19,20,21
"825",825,20,21,0
"826",826,20,20,21
"827",827,17,18,18
"828",828,20,20,17
"829",829,0,0,0
"830",830,0,0,0
"831",831,13,14,14
"832",832,21,21,21
"833",833,18,20,18
"834",834,21,19,20
"835",835,21,21,20
"836",836,0,0,0
"837",837,0,0,0
"838",838,17,21,19
"839",839,21,20,19
"840",840,18,19,19
"841",841,20,20,21
"842",842,21,21,21
"843",843,0,0,0
"844",844,0,0,0
"845",845,21,20,20
"846",846,21,21,20
"847",847,20,19,19
"848",848,20,21,21
"849",849,20,20,20
"850",850,0,0,0
"851",851,0,0,0
"852",852,21,21,19
"853",853,20,21,21
"854",854,20,19,18
"855",855,20,20,17
"856",856,18,19,19
"857",857,0,0,0
"858",858,0,0,0
"859",859,20,18,18
"860",860,18,0,21
"861",861,0,20,16
"862",862,20,19,20
"863",863,20,17,0
"864",864,0,0,0
"865",865,0,0,0
"866",866,21,0,21
"867",867,0,21,20
"868",868,20,18,0
"869",869,20,20,0
"870",870,2,0,20
"871",871,0,0,0
"872",872,0,0,0
"873",873,0,15,21
"874",874,0,18,17
"875",875,19,0,18
"876",876,17,18,0
"877",877,12,0,0
"878",878,0,0,0
"879",879,0,0,0
"880",880,0,21,12
"881",881,21,0,21
"882",882,21,7,0
"883",883,16,20,0
"884",884,21,0,14
"885",885,0,0,0
"886",886,0,0,0
"887",887,0,16,21
"888",888,21,0,21
"889",889,21,20,0
"890",890,20,0,0
"891",891,0,0,0
"892",892,0,0,0
"893",893,0,0,0
"894",894,0,0,0
"895",895,0,0,0
"896",896,0,0,0
"897",897,0,0,0
"898",898,0,0,0
"899",899,0,0,0
"900",900,0,0,0
"901",901,0,0,0
"902",902,0,0,0
"903",903,0,0,0
"904",904,0,0,0
"905",905,0,0,0
"906",906,0,0,0
"907",907,0,0,0
"908",908,21,12,21
"909",909,20,21,20
"910",910,20,0,19
"911",911,21,21,0
"912",912,21,0,21
"913",913,0,0,0
"914",914,0,0,0
"915",915,21,0,20
"916",916,21,20,21
"917",917,21,0,21
"918",918,0,21,21
"919",919,21,21,21
"920",920,0,0,0
"921",921,0,0,0
"922",922,21,19,19
"923",923,21,21,13
"924",924,0,21,20
"925",925,21,0,21
"926",926,21,21,21
"927",927,0,0,0
"928",928,0,0,0
"929",929,21,21,21
"930",930,0,21,20
"931",931,0,20,21
"932",932,21,21,0
"933",933,21,18,21
"934",934,0,0,0
"935",935,0,0,0
"936",936,21,21,21
"937",937,21,0,21
"938",938,21,21,21
"939",939,21,21,0
"940",940,21,21,19
"941",941,0,0,0
"942",942,0,0,0
"943",943,21,20,21
"944",944,21,21,0
"945",945,21,0,21
"946",946,21,21,21
"947",947,21,21,21
"948",948,0,0,0
"949",949,0,0,0
"950",950,0,0,0
"951",951,21,21,21
"952",952,21,21,0
"953",953,0,21,21
"954",954,21,21,21
"955",955,21,21,21
"956",956,0,0,0
"957",957,21,21,0
"958",958,21,21,21
"959",959,19,19,19
"960",960,0,0,0
"961",961,0,0,0
"962",962,0,0,0
"963",963,0,0,0
"964",964,18,21,21
"965",965,21,20,0
"966",966,0,21,21
"967",967,19,21,21
"968",968,21,20,21
"969",969,0,0,0
"970",970,0,0,0
"971",971,21,21,20
"972",972,21,21,0
"973",973,21,21,21
"974",974,21,21,21
"975",975,21,21,21
"976",976,0,0,0
"977",977,0,0,0
"978",978,21,21,21
"979",979,20,21,0
